time,ice_change,ice_change_err,sea_level_change,sea_level_change_err
1992,4.408344,25.014995999999996,-0.0122454,0.0694861
1992.08,11.475,42.7032,-0.031875,0.11862
1992.17,19.649988,57.14568,-0.0545833,0.158738
1992.25,26.516664,69.65316,-0.0736574,0.193481
1992.33,37.82484,80.84016,-0.105069,0.224556
1992.42,47.599920000000004,90.72,-0.132222,0.252
1992.5,60.72516,99.86292,-0.168681,0.277397
1992.58,77.74992,108.41112000000001,-0.215972,0.301142
1992.67,96.13332000000001,116.46684,-0.267037,0.323519
1992.75,112.90824,124.10604000000001,-0.313634,0.344739
1992.83,122.6916,131.38632,-0.34081,0.364962
1992.92,133.11684,138.3534,-0.369769,0.384315
1993,142.61651999999998,143.27172000000002,-0.396157,0.397977
1993.08,150.49152,147.99492,-0.418032,0.411097
1993.17,161.83223999999998,152.54352,-0.449534,0.423732
1993.25,172.60056,156.9384,-0.479446,0.43594
1993.33,181.63008,161.19504,-0.504528,0.447764
1993.42,184.68432,165.33071999999999,-0.513012,0.459252
1993.5,186.61932000000002,169.3674,-0.518387,0.470465
1993.58,187.65828,173.31228,-0.521273,0.481423
1993.67,189.64296,177.15959999999998,-0.526786,0.49211
1993.75,198.33984,180.91656,-0.550944,0.502546
1993.83,205.5744,184.60008,-0.57104,0.512778
1993.92,210.48084,188.21844,-0.584669,0.522829
1994,211.58136,191.77164000000002,-0.587726,0.532699
1994.08,208.12356,195.2586,-0.578121,0.542385
1994.17,204.0192,198.68292,-0.56672,0.551897
1994.25,197.36352000000002,202.04856,-0.548232,0.561246
1994.33,189.13716,205.35804000000002,-0.525381,0.570439
1994.42,179.73504,208.6146,-0.499264,0.579485
1994.5,169.911,211.82076,-0.471975,0.588391
1994.58,160.37460000000002,214.97868,-0.445485,0.597163
1994.67,151.2954,218.09124000000003,-0.420265,0.605809
1994.75,140.33196,221.16024000000002,-0.389811,0.614334
1994.83,128.63952,224.18712,-0.357332,0.622742
1994.92,115.73784,227.17440000000002,-0.321494,0.63104
1995,102.34728,230.12352,-0.284298,0.639232
1995.08,88.82352,233.03556,-0.246732,0.647321
1995.17,75.96576,235.91268000000002,-0.211016,0.655313
1995.25,61.32384,238.7556,-0.170344,0.66321
1995.33,45.498239999999996,241.56611999999998,-0.126384,0.671017
1995.42,26.756532000000004,244.3536,-0.0743237,0.67876
1995.5,4.3431120000000005,247.12524000000002,-0.0120642,0.686459
1995.58,-19.773504,249.8634,0.0549264,0.694065
1995.67,-38.70144,252.5274,0.107504,0.701465
1995.75,-46.983959999999996,255.15216,0.130511,0.708756
1995.83,-47.49552,257.73912,0.131932,0.715942
