time,sea_level_alt,sea_level_rec,sea_level_rec_err
1880.0417,NA,-183,24.2
1880.125,NA,-171.1,24.2
1880.2083,NA,-164.3,24.2
1880.2917,NA,-158.2,24.2
1880.375,NA,-158.7,24.2
1880.4583,NA,-159.6,24.2
1880.5417,NA,-159.6,24.2
1880.625,NA,-161.8,24.2
1880.7083,NA,-158.9,24.2
1880.7917,NA,-150.3,24.2
1880.875,NA,-144.5,24.2
1880.9583,NA,-134.7,24.2
1881.0417,NA,-136.4,24.2
1881.125,NA,-139.2,24.2
1881.2083,NA,-145.2,24.2
1881.2917,NA,-151.1,24.2
1881.375,NA,-152.2,24.2
1881.4583,NA,-154.2,24.2
1881.5417,NA,-147.7,24.2
1881.625,NA,-151.4,24.2
1881.7083,NA,-156,24.2
1881.7917,NA,-165.5,24.2
1881.875,NA,-167.9,24.2
1881.9583,NA,-169.9,24.2
1882.0417,NA,-167.8,24.2
1882.125,NA,-162,22.9
1882.2083,NA,-158.8,22.9
1882.2917,NA,-160.6,22.9
1882.375,NA,-164.5,22.9
1882.4583,NA,-165.2,22.9
1882.5417,NA,-167.3,22.9
1882.625,NA,-169,22.9
1882.7083,NA,-174.9,22.9
1882.7917,NA,-181.5,22.9
1882.875,NA,-182.5,22.9
1882.9583,NA,-184.5,22.9
1883.0417,NA,-179.9,22.8
1883.125,NA,-180,22.8
1883.2083,NA,-172.4,22.8
1883.2917,NA,-172.3,22.8
1883.375,NA,-164,22.8
1883.4583,NA,-163.6,22.8
1883.5417,NA,-161.1,22.8
1883.625,NA,-162,22.8
1883.7083,NA,-159.3,22.8
1883.7917,NA,-158.2,22.8
1883.875,NA,-153.2,22.8
1883.9583,NA,-149.1,22.8
1884.0417,NA,-142.5,22.2
1884.125,NA,-139.5,22.2
1884.2083,NA,-137,22.2
1884.2917,NA,-135.2,22.2
1884.375,NA,-136,22.2
1884.4583,NA,-140,22.2
1884.5417,NA,-143.3,22.2
1884.625,NA,-146.8,22.2
1884.7083,NA,-150.4,22.2
1884.7917,NA,-150.4,22.2
1884.875,NA,-154,22.2
1884.9583,NA,-149.9,22.2
1885.0417,NA,-153.1,22.2
1885.125,NA,-148.3,21.9
1885.2083,NA,-145.3,21.9
1885.2917,NA,-142.7,21.9
1885.375,NA,-143.1,21.9
1885.4583,NA,-142.7,21.9
1885.5417,NA,-148.4,21.9
1885.625,NA,-143.2,21.9
1885.7083,NA,-146.5,21.9
1885.7917,NA,-141.2,21.9
1885.875,NA,-143.3,21.9
1885.9583,NA,-145.1,21.9
1886.0417,NA,-147.3,20.8
1886.125,NA,-152.2,20.8
1886.2083,NA,-146.8,20.8
1886.2917,NA,-142,20.8
1886.375,NA,-134.7,20.8
1886.4583,NA,-135.4,20.8
1886.5417,NA,-140.8,20.8
1886.625,NA,-147.7,20.8
1886.7083,NA,-155.1,20.8
1886.7917,NA,-155.2,20.8
1886.875,NA,-157.9,20.8
1886.9583,NA,-155.8,20.8
1887.0417,NA,-162.2,20.7
1887.125,NA,-165.8,20.7
1887.2083,NA,-162.9,20.8
1887.2917,NA,-158.8,20.8
1887.375,NA,-151.9,20.8
1887.4583,NA,-147.1,20.8
1887.5417,NA,-147.3,20.8
1887.625,NA,-147.5,20.8
1887.7083,NA,-150.6,20.8
1887.7917,NA,-147.5,20.8
1887.875,NA,-148.8,20.8
1887.9583,NA,-148,20.8
1888.0417,NA,-155.3,20.8
1888.125,NA,-155.6,20.8
1888.2083,NA,-155,20.8
1888.2917,NA,-155.2,20.8
1888.375,NA,-154.2,20.8
1888.4583,NA,-151.6,20.8
1888.5417,NA,-149,20.8
1888.625,NA,-148.5,20.8
1888.7083,NA,-151.5,20.8
1888.7917,NA,-145,20.8
1888.875,NA,-146,20.8
1888.9583,NA,-146,20.8
1889.0417,NA,-151.1,20.8
1889.125,NA,-147.4,20.8
1889.2083,NA,-144.3,20.7
1889.2917,NA,-145,20.7
1889.375,NA,-145.9,20.7
1889.4583,NA,-145.8,20.7
1889.5417,NA,-147,20.7
1889.625,NA,-147.6,20.7
1889.7083,NA,-151.3,20.7
1889.7917,NA,-153.8,20.7
1889.875,NA,-157.6,20.7
1889.9583,NA,-157.2,20.7
1890.0417,NA,-152.3,20.7
1890.125,NA,-151.4,20.7
1890.2083,NA,-140,20.7
1890.2917,NA,-138.1,20.7
1890.375,NA,-135.3,20.7
1890.4583,NA,-140.2,20.7
1890.5417,NA,-144.2,20.7
1890.625,NA,-147.8,20.7
1890.7083,NA,-149.4,20.7
1890.7917,NA,-151.8,20.7
1890.875,NA,-155.9,20.7
1890.9583,NA,-163.9,20.7
1891.0417,NA,-162.9,20.7
1891.125,NA,-163.9,20.7
1891.2083,NA,-148.1,20.7
1891.2917,NA,-150.8,20.7
1891.375,NA,-145.4,20.7
1891.4583,NA,-148.4,20.7
1891.5417,NA,-143.8,20.7
1891.625,NA,-142.2,20.7
1891.7083,NA,-143.2,20.7
1891.7917,NA,-144.5,20.7
1891.875,NA,-148.2,20.7
1891.9583,NA,-148.8,20.7
1892.0417,NA,-145.8,20.7
1892.125,NA,-139.3,20.7
1892.2083,NA,-139.8,20.7
1892.2917,NA,-138.6,20.7
1892.375,NA,-143.1,20.7
1892.4583,NA,-141.6,20.7
1892.5417,NA,-145.8,20.7
1892.625,NA,-146.6,20.7
1892.7083,NA,-151.7,20.7
1892.7917,NA,-151.5,20.7
1892.875,NA,-156.3,20.7
1892.9583,NA,-152.4,20.7
1893.0417,NA,-147.5,20.2
1893.125,NA,-143.8,20.2
1893.2083,NA,-136.7,20.2
1893.2917,NA,-137.9,20.2
