time,ice_change,ice_change_err,sea_level_change,sea_level_change_err
1992,-2.25,18.763884,0.00625,0.0521219
1992.08,2.916666,32.031936,-0.00810185,0.0889776
1992.17,11.333340000000002,42.8652,-0.0314815,0.11907
1992.25,23.333328,52.24716,-0.0648148,0.145131
1992.33,32.416668,60.638760000000005,-0.0900463,0.168441
1992.42,42.00012,68.29884,-0.116667,0.189719
1992.5,48.0834,75.3912,-0.133565,0.20942
1992.58,53.58348,82.02528,-0.148843,0.227848
1992.67,59.3334,88.27992,-0.164815,0.245222
1992.75,65.58336,94.21343999999999,-0.182176,0.261704
1992.83,72.08315999999999,99.87084000000002,-0.200231,0.277419
1992.92,74.16684000000001,105.28776,-0.206019,0.292466
1993,62.91684,110.49192,-0.174769,0.306922
1993.08,53.08344,115.50672000000002,-0.147454,0.320852
1993.17,47.00016,120.3516,-0.130556,0.33431
1993.25,42.83316,125.04239999999999,-0.118981,0.34734
1993.33,39.0834,129.59316,-0.108565,0.359981
1993.42,34.416684000000004,134.01612,-0.0956019,0.372267
1993.5,29.000016000000002,138.32064,-0.0805556,0.384224
1993.58,26.333315999999996,142.51644,-0.0731481,0.395879
1993.67,20.499984,146.61108,-0.0569444,0.407253
1993.75,14.166684,150.6114,-0.0393519,0.418365
1993.83,7.499988,154.52424,-0.0208333,0.429234
1993.92,-0.08333315999999999,158.35428000000002,2.31481e-4,0.439873
1994,-12.499992,162.10692,0.0347222,0.450297
1994.08,-15.500016,165.78684,0.0430556,0.460519
1994.17,-14.166684,169.398,0.0393519,0.47055
1994.25,-14.916672,172.944,0.0414352,0.4804
1994.33,-18.08334,176.42844,0.0502315,0.490079
1994.42,-25.499988000000002,179.8542,0.0708333,0.499595
1994.5,-34.583328,183.22415999999998,0.0960648,0.508956
1994.58,-45,186.5412,0.125,0.51817
1994.67,-58.74984,189.80784000000003,0.163194,0.527244
1994.75,-72.66672,193.02552000000003,0.201852,0.536182
1994.83,-88.16652,196.19747999999998,0.244907,0.544993
1994.92,-107.91684000000001,199.32479999999998,0.299769,0.55368
1995,-138.16656,202.40928,0.383796,0.562248
1995.08,-164.08332,205.45344,0.455787,0.570704
1995.17,-185.3334,208.45799999999997,0.514815,0.57905
1995.25,-208.33344,211.42476,0.578704,0.587291
1995.33,-226.00007999999997,214.35516,0.627778,0.595431
1995.42,-241.75008,217.25063999999998,0.671528,0.603474
1995.5,-254.49984,220.11192,0.706944,0.611422
1995.58,-262.58328,222.94080000000002,0.729398,0.61928
1995.67,-265.08348,225.738,0.736343,0.62705
1995.75,-266.16672,228.5046,0.739352,0.634735
1995.83,-266.74992,231.24167999999997,0.740972,0.642338
1995.92,-269.25012000000004,233.94996,0.747917,0.649861
1996,-273.9168,236.63052,0.76088,0.657307
1996.08,-267.16679999999997,239.28408,0.74213,0.664678
1996.17,-252.91656,241.91136,0.702546,0.671976
1996.25,-240.24996,244.51344,0.667361,0.679204
1996.33,-225.50003999999998,247.09104,0.626389,0.686364
1996.42,-212.33339999999998,249.64452,0.589815,0.693457
1996.5,-199.33344,252.1746,0.553704,0.700485
1996.58,-190.16675999999998,254.68200000000002,0.528241,0.70745
1996.67,-185.16672,257.16744,0.514352,0.714354
1996.75,-182.8332,259.63128,0.50787,0.721198
1996.83,-181.6668,262.07388000000003,0.50463,0.727983
1996.92,-184.25016,264.49632,0.511806,0.734712
1997,-190.83348,266.89896,0.530093,0.741386
1997.08,-192.75012,269.28180000000003,0.535417,0.748005
1997.17,-190.83348,271.64592,0.530093,0.754572
1997.25,-189.24984,273.99132,0.525694,0.761087
1997.33,-187.08336,276.31872,0.519676,0.767552
1997.42,-183.99996,278.62847999999997,0.511111,0.773968
1997.5,-183.16656,280.9206,0.508796,0.780335
1997.58,-185.41656,283.19616,0.515046,0.786656
1997.67,-185.83344,285.45516000000003,0.516204,0.792931
1997.75,-184.33332,287.69796,0.512037,0.799161
1997.83,-182.41667999999999,289.92456,0.506713,0.805346
1997.92,-186.00011999999998,292.13604,0.516667,0.811489
1998,-197.33328,294.33204,0.548148,0.817589
1998.08,-205.16652000000002,296.51328,0.569907,0.823648
1998.17,-213.50016000000002,298.68012,0.593056,0.829667
