time,year,month,temp
1880.0833333333333,1880,1,-0.29
1880.1666666666667,1880,2,-0.18
1880.25,1880,3,-0.11
1880.3333333333333,1880,4,-0.19
1880.4166666666667,1880,5,-0.11
1880.5,1880,6,-0.23
1880.5833333333333,1880,7,-0.2
1880.6666666666667,1880,8,-0.09
1880.75,1880,9,-0.16
1880.8333333333333,1880,10,-0.23
1880.9166666666667,1880,11,-0.2
1881,1880,12,-0.22
1881.0833333333333,1881,1,-0.15
1881.1666666666667,1881,2,-0.17
1881.25,1881,3,0.04
1881.3333333333333,1881,4,0.04
1881.4166666666667,1881,5,0.02
1881.5,1881,6,-0.2
1881.5833333333333,1881,7,-0.06
1881.6666666666667,1881,8,-0.02
1881.75,1881,9,-0.14
1881.8333333333333,1881,10,-0.21
1881.9166666666667,1881,11,-0.22
1882,1881,12,-0.11
1882.0833333333333,1882,1,0.14
1882.1666666666667,1882,2,0.15
1882.25,1882,3,0.04
1882.3333333333333,1882,4,-0.19
1882.4166666666667,1882,5,-0.16
1882.5,1882,6,-0.26
1882.5833333333333,1882,7,-0.21
1882.6666666666667,1882,8,-0.05
1882.75,1882,9,-0.1
1882.8333333333333,1882,10,-0.25
1882.9166666666667,1882,11,-0.16
1883,1882,12,-0.24
1883.0833333333333,1883,1,-0.31
1883.1666666666667,1883,2,-0.39
1883.25,1883,3,-0.13
1883.3333333333333,1883,4,-0.17
1883.4166666666667,1883,5,-0.2
1883.5,1883,6,-0.12
1883.5833333333333,1883,7,-0.08
1883.6666666666667,1883,8,-0.15
1883.75,1883,9,-0.2
1883.8333333333333,1883,10,-0.14
1883.9166666666667,1883,11,-0.22
1884,1883,12,-0.16
1884.0833333333333,1884,1,-0.15
1884.1666666666667,1884,2,-0.08
1884.25,1884,3,-0.37
1884.3333333333333,1884,4,-0.42
1884.4166666666667,1884,5,-0.36
1884.5,1884,6,-0.4
1884.5833333333333,1884,7,-0.34
1884.6666666666667,1884,8,-0.26
1884.75,1884,9,-0.27
1884.8333333333333,1884,10,-0.24
1884.9166666666667,1884,11,-0.3
1885,1884,12,-0.29
1885.0833333333333,1885,1,-0.59
1885.1666666666667,1885,2,-0.3
1885.25,1885,3,-0.25
1885.3333333333333,1885,4,-0.42
1885.4166666666667,1885,5,-0.42
1885.5,1885,6,-0.44
1885.5833333333333,1885,7,-0.35
1885.6666666666667,1885,8,-0.31
1885.75,1885,9,-0.24
1885.8333333333333,1885,10,-0.19
1885.9166666666667,1885,11,-0.19
1886,1885,12,-0.05
1886.0833333333333,1886,1,-0.42
1886.1666666666667,1886,2,-0.45
1886.25,1886,3,-0.38
1886.3333333333333,1886,4,-0.28
1886.4166666666667,1886,5,-0.26
1886.5,1886,6,-0.39
1886.5833333333333,1886,7,-0.22
1886.6666666666667,1886,8,-0.33
1886.75,1886,9,-0.25
1886.8333333333333,1886,10,-0.28
1886.9166666666667,1886,11,-0.31
1887,1886,12,-0.26
1887.0833333333333,1887,1,-0.73
1887.1666666666667,1887,2,-0.53
1887.25,1887,3,-0.34
1887.3333333333333,1887,4,-0.39
1887.4166666666667,1887,5,-0.32
1887.5,1887,6,-0.24
1887.5833333333333,1887,7,-0.23
1887.6666666666667,1887,8,-0.32
1887.75,1887,9,-0.23
1887.8333333333333,1887,10,-0.33
1887.9166666666667,1887,11,-0.24
1888,1887,12,-0.33
1888.0833333333333,1888,1,-0.38
1888.1666666666667,1888,2,-0.36
1888.25,1888,3,-0.41
1888.3333333333333,1888,4,-0.22
1888.4166666666667,1888,5,-0.22
1888.5,1888,6,-0.18
1888.5833333333333,1888,7,-0.1
1888.6666666666667,1888,8,-0.16
1888.75,1888,9,-0.1
1888.8333333333333,1888,10,0.01
1888.9166666666667,1888,11,0
1889,1888,12,-0.07
1889.0833333333333,1889,1,-0.12
1889.1666666666667,1889,2,0.18
1889.25,1889,3,0.07
1889.3333333333333,1889,4,0.07
1889.4166666666667,1889,5,-0.03
1889.5,1889,6,-0.14
1889.5833333333333,1889,7,-0.1
1889.6666666666667,1889,8,-0.2
1889.75,1889,9,-0.22
1889.8333333333333,1889,10,-0.23
1889.9166666666667,1889,11,-0.33
1890,1889,12,-0.3
1890.0833333333333,1890,1,-0.45
1890.1666666666667,1890,2,-0.45
1890.25,1890,3,-0.4
1890.3333333333333,1890,4,-0.37
1890.4166666666667,1890,5,-0.46
1890.5,1890,6,-0.27
1890.5833333333333,1890,7,-0.27
1890.6666666666667,1890,8,-0.38
1890.75,1890,9,-0.4
1890.8333333333333,1890,10,-0.24
1890.9166666666667,1890,11,-0.48
1891,1890,12,-0.31
1891.0833333333333,1891,1,-0.42
1891.1666666666667,1891,2,-0.47
1891.25,1891,3,-0.18
1891.3333333333333,1891,4,-0.28
1891.4166666666667,1891,5,-0.18
1891.5,1891,6,-0.2
1891.5833333333333,1891,7,-0.2
1891.6666666666667,1891,8,-0.16
1891.75,1891,9,-0.14
1891.8333333333333,1891,10,-0.21
1891.9166666666667,1891,11,-0.34
1892,1891,12,-0.04
1892.0833333333333,1892,1,-0.28
1892.1666666666667,1892,2,-0.11
1892.25,1892,3,-0.35
1892.3333333333333,1892,4,-0.34
1892.4166666666667,1892,5,-0.25
1892.5,1892,6,-0.23
1892.5833333333333,1892,7,-0.32
1892.6666666666667,1892,8,-0.25
1892.75,1892,9,-0.13
1892.8333333333333,1892,10,-0.12
1892.9166666666667,1892,11,-0.41
1893,1892,12,-0.38
1893.0833333333333,1893,1,-0.79
1893.1666666666667,1893,2,-0.54
1893.25,1893,3,-0.23
1893.3333333333333,1893,4,-0.3
