time,WO,WOse,NH,NHse,SH,SHse
1955.5,-0.133,0.04,-0.143,0.028,-0.126,0.048
1956.5,-0.123,0.014,-0.172,0.03,-0.089,0.008
1957.5,-0.09,0.019,-0.108,0.033,-0.078,0.012
1958.5,-0.027,0.021,0.058,0.012,-0.086,0.03
1959.5,-0.071,0.021,-0.039,0.015,-0.093,0.026
1960.5,-0.047,0.013,0.029,0.031,-0.099,0.02
1961.5,-0.055,0.012,-0.033,0.01,-0.07,0.018
1962.5,-0.07,0.019,-0.06,0.02,-0.076,0.023
1963.5,-0.019,0.009,-0.02,0.033,-0.017,0.025
1964.5,-0.143,0.035,-0.126,0.037,-0.155,0.036
1965.5,-0.115,0.023,-0.139,0.036,-0.097,0.017
1966.5,-0.094,0.008,-0.097,0.015,-0.091,0.017
1967.5,-0.162,0.015,-0.136,0.034,-0.18,0.025
1968.5,-0.137,0.033,-0.149,0.023,-0.129,0.045
1969.5,-0.069,0.01,-0.094,0.011,-0.052,0.019
1970.5,-0.143,0.017,-0.196,0.008,-0.106,0.025
1971.5,-0.259,0.009,-0.319,0.01,-0.218,0.02
1972.5,-0.134,0.021,-0.237,0.034,-0.063,0.017
1973.5,-0.09,0.014,-0.152,0.007,-0.047,0.021
1974.5,-0.143,0.019,-0.23,0.018,-0.083,0.022
1975.5,-0.156,0.014,-0.242,0.016,-0.096,0.02
1976.5,-0.139,0.033,-0.242,0.041,-0.067,0.034
1977.5,0.027,0.007,-0.017,0.032,0.058,0.02
1978.5,0.02,0.012,0.003,0.025,0.032,0.022
1979.5,0.032,0.012,0.009,0.008,0.048,0.015
1980.5,0.076,0.022,0.071,0.009,0.08,0.034
1981.5,0.027,0.012,0.027,0.013,0.027,0.016
1982.5,-0.002,0.021,-0.025,0.008,0.014,0.034
1983.5,0.064,0.03,0.065,0.028,0.063,0.042
1984.5,-0.036,0.022,-0.096,0.033,0.004,0.023
1985.5,-0.042,0.022,-0.11,0.017,0.006,0.034
1986.5,-0.011,0.014,-0.053,0.03,0.017,0.015
1987.5,0.132,0.016,0.1,0.038,0.154,0.008
1988.5,0.058,0.022,0.031,0.007,0.076,0.032
1989.5,0.042,0.011,0.032,0.027,0.049,0.008
1990.5,0.133,0.012,0.176,0.017,0.103,0.019
1991.5,0.14,0.009,0.177,0.022,0.113,0.007
1992.5,0.135,0.031,0.209,0.023,0.084,0.039
1993.5,0.128,0.007,0.166,0.007,0.101,0.009
1994.5,0.078,0.017,0.115,0.021,0.053,0.016
1995.5,0.115,0.022,0.152,0.005,0.088,0.038
1996.5,0.093,0.01,0.154,0.014,0.051,0.009
1997.5,0.138,0.036,0.181,0.052,0.109,0.029
1998.5,0.215,0.04,0.317,0.041,0.144,0.045
1999.5,0.043,0.007,0.089,0.024,0.011,0.019
2000.5,0.075,0.022,0.115,0.012,0.047,0.032
2001.5,0.14,0.027,0.218,0.029,0.086,0.03
2002.5,0.206,0.008,0.262,0.009,0.167,0.012
2003.5,0.227,0.027,0.3,0.034,0.177,0.023
2004.5,0.259,0.014,0.383,0.011,0.173,0.018
2005.5,0.247,0.01,0.371,0.01,0.162,0.011
2006.5,0.237,0.023,0.337,0.031,0.168,0.019
2007.5,0.19,0.03,0.282,0.031,0.126,0.032
2008.5,0.149,0.029,0.234,0.018,0.09,0.039
2009.5,0.255,0.029,0.342,0.033,0.195,0.027
2010.5,0.267,0.046,0.352,0.052,0.208,0.042
2011.5,0.197,0.015,0.254,0.01,0.158,0.026
2012.5,0.215,0.029,0.272,0.028,0.176,0.034
2013.5,0.261,0.011,0.333,0.012,0.212,0.011
2014.5,0.299,0.017,0.39,0.019,0.236,0.022
2015.5,0.436,0.035,0.565,0.032,0.346,0.038
2016.5,0.444,0.028,0.583,0.035,0.347,0.028
2017.5,0.405,0.018,0.531,0.019,0.318,0.023
2018.5,0.383,0.014,0.495,0.016,0.306,0.024
2019.5,0.456,0.008,0.604,0.007,0.353,0.018
