botid, date, time, press, theta, sigma, temp, csal, coxy, bsal, boxy, dic, ph, alk, phos, nit, sil, no2, 
#, mmddyy, hhmmss, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, PSS-78, umol/kg, umol/kg,  , ueq/kg, umol/kg, umol/kg, umol/kg, nmol/kg, 
0010200312, 103188, 015704,    4.7, 26.2868, 23.122, 26.2879, 35.2344,  224.6, 35.2450,  210.9,    -9.0, -9.000,    -9,   0.09,   0.02,   0.91,   -9.0,
0010200311, 103188, 015529,   39.4, 26.1785, 23.149, 26.1874, 35.2253,  219.5, 35.2368,  211.6,    -9.0, -9.000,    -9,   0.08,   0.04,   1.11,   -9.0,
0010200310, 103188, 015401,   99.4, 21.7782, 24.468, 21.7978, 35.2462,  218.0, 35.2578,  214.2,    -9.0, -9.000,    -9,   0.14,   0.21,   1.50,   -9.0,
0010200309, 103188, 015220,  150.3, 19.3937, 24.989, 19.4209, 35.0890,  201.9, 35.0989,  200.8,    -9.0, -9.000,    -9,   0.27,   2.07,   2.10,   -9.0,
0010200308, 103188, 015059,  191.8, 17.6737, 25.292, 17.7063, 34.9198,  214.4, 34.9293,  211.0,    -9.0, -9.000,    -9,   0.31,   2.26,   2.89,   -9.0,
0010200307, 103188, 014953,  217.0, 16.5629, 25.449, 16.5981, 34.7796,   -9.0, -9.0000,  207.0,    -9.0, -9.000,    -9,   0.39,   3.79,   3.49,   -9.0,
0010200306, 103188, 014757,  279.9, 13.2253, 25.846, 13.2641, 34.3514,  214.1, 34.3540,  211.3,    -9.0, -9.000,    -9,   0.67,   8.01,   7.66,   -9.0,
0010200305, 103188, 014557,  340.6, 10.6699, 26.186, 10.7110, 34.1663,  208.2, 34.1651,  208.2,    -9.0, -9.000,    -9,   1.07,  13.95,  16.19,   -9.0,
0010200304, 103188, 014257,  399.0,  8.7674, 26.430,  8.8102, 34.0740,  183.6, 34.0776,  180.9,    -9.0, -9.000,    -9,   1.55,  20.73,  28.41,   -9.0,
0010200303, 103188, 014021,  475.9,  7.2781, 26.619,  7.3241, 34.0329,  152.4, 34.0334,  143.9,    -9.0, -9.000,    -9,   2.05,  26.87,  43.20,   -9.0,
0010200302, 103188, 013504,  677.8,  4.8319, 27.063,  4.8859, 34.2030,   30.5, 34.2003,   31.0,    -9.0, -9.000,    -9,   2.97,  40.18,  92.63,   -9.0,
0010200301, 103188, 012221, 1013.7,  3.7846, 27.400,  3.8603, 34.4873,   48.4, 34.4884,   46.5,    -9.0, -9.000,    -9,   3.03,  41.29, 116.43,   -9.0,
0010200412, 103188, 051042,  542.6,  6.1875, 26.768,  6.2357, 34.0372,  106.8, 34.0366,   97.0,    -9.0, -9.000,    -9,   2.40,  32.42,  60.67,   -9.0,
0010200411, 103188, 045415,  998.9,  3.8401, 27.386,  3.9149, 34.4758,   43.8, 34.4755,   44.2,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200410, 103188, 045141, 1100.4,  3.5704, 27.438,  3.6515, 34.5076,   50.7, 34.5090,   51.5,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200409, 103188, 044907, 1202.3,  3.3094, 27.485,  3.3967, 34.5347,   57.6, -9.0000,   56.4,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200408, 103188, 044530, 1306.1,  3.0562, 27.521,  3.1496, 34.5508,   63.4, 34.5516,   63.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200407, 103188, 044244, 1407.9,  2.8419, 27.551,  2.9414, 34.5640,   70.1, 34.5617,   68.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200406, 103188, 043721, 1514.6,  2.6408, 27.581,  2.7470, 34.5787,   75.9, 34.5729,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200405, 103188, 042643, 1708.2,  2.2829, 27.629,  2.4007, 34.6004,   88.4, 34.6003,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200404, 103188, 042123, 1902.5,  2.0457, 27.661,  2.1766, 34.6162,   98.0, 34.6149,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200403, 103188, 041636, 2094.0,  1.8472, 27.686,  1.9914, 34.6290,  106.1, 34.6262,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200402, 103188, 041035, 2283.6,  1.6858, 27.707,  1.8440, 34.6394,  111.0, 34.6386,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200401, 103188, 035732, 2498.3,  1.5513, 27.726,  1.7263, 34.6500,  118.5, 34.6509,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200512, 103188, 092645, 2488.7,  1.5694, 27.722,  1.7439, 34.6477,  114.7, 34.6474,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200511, 103188, 090459, 2680.5,  1.4523, 27.739,  1.6422, 34.6583,  122.6, 34.6581,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200510, 103188, 090008, 2880.0,  1.3606, 27.751,  1.5675, 34.6648,  129.1, 34.6659,   -9.0,    -9.0, -9.000,    -9,  -9.00,  37.05,  -9.00,   -9.0,
0010200509, 103188, 085203, 3067.6,  1.3046, 27.759,  1.5285, 34.6698,  134.4, 34.6688,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200508, 103188, 084719, 3259.0,  1.2553, 27.766,  1.4972, 34.6742,  138.7, 34.6741,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200507, 103188, 083848, 3451.5,  1.2156, 27.772,  1.4763, 34.6779,  141.7, 34.6766,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200506, 103188, 083324, 3675.3,  1.1813, 27.777,  1.4646, 34.6808,  145.9, 34.6786,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200505, 103188, 082849, 3877.7,  1.1569, 27.780,  1.4616, 34.6829,  148.1, 34.6819,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200504, 103188, 082356, 4087.4,  1.1358, 27.783,  1.4633, 34.6848,  149.9, 34.6845,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200503, 103188, 081901, 4267.2,  1.1240, 27.785,  1.4717, 34.6859,  150.6, 34.6859,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010200502, 103188, 081328, 4483.3,  1.1132, 27.786,  1.4859, 34.6870,  151.5, 34.6851,   -9.0,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
