botid, date, time, press, temp, csal, dic, ph, alk, 
#, mmddyy, hhmmss, dbar, ITS-90, PSS-78, umol/kg,  , ueq/kg, 
0010200312, 103188, 015704,    4.7, 26.2879, 35.2344,    -9.0, -9.000,    -9,
0010200311, 103188, 015529,   39.4, 26.1874, 35.2253,    -9.0, -9.000,    -9,
0010200310, 103188, 015401,   99.4, 21.7978, 35.2462,    -9.0, -9.000,    -9,
0010200309, 103188, 015220,  150.3, 19.4209, 35.0890,    -9.0, -9.000,    -9,
0010200308, 103188, 015059,  191.8, 17.7063, 34.9198,    -9.0, -9.000,    -9,
0010200307, 103188, 014953,  217.0, 16.5981, 34.7796,    -9.0, -9.000,    -9,
0010200306, 103188, 014757,  279.9, 13.2641, 34.3514,    -9.0, -9.000,    -9,
0010200305, 103188, 014557,  340.6, 10.7110, 34.1663,    -9.0, -9.000,    -9,
0010200304, 103188, 014257,  399.0,  8.8102, 34.0740,    -9.0, -9.000,    -9,
0010200303, 103188, 014021,  475.9,  7.3241, 34.0329,    -9.0, -9.000,    -9,
0010200302, 103188, 013504,  677.8,  4.8859, 34.2030,    -9.0, -9.000,    -9,
0010200301, 103188, 012221, 1013.7,  3.8603, 34.4873,    -9.0, -9.000,    -9,
0010200412, 103188, 051042,  542.6,  6.2357, 34.0372,    -9.0, -9.000,    -9,
0010200411, 103188, 045415,  998.9,  3.9149, 34.4758,    -9.0, -9.000,    -9,
0010200410, 103188, 045141, 1100.4,  3.6515, 34.5076,    -9.0, -9.000,    -9,
0010200409, 103188, 044907, 1202.3,  3.3967, 34.5347,    -9.0, -9.000,    -9,
0010200408, 103188, 044530, 1306.1,  3.1496, 34.5508,    -9.0, -9.000,    -9,
0010200407, 103188, 044244, 1407.9,  2.9414, 34.5640,    -9.0, -9.000,    -9,
0010200406, 103188, 043721, 1514.6,  2.7470, 34.5787,    -9.0, -9.000,    -9,
0010200405, 103188, 042643, 1708.2,  2.4007, 34.6004,    -9.0, -9.000,    -9,
0010200404, 103188, 042123, 1902.5,  2.1766, 34.6162,    -9.0, -9.000,    -9,
0010200403, 103188, 041636, 2094.0,  1.9914, 34.6290,    -9.0, -9.000,    -9,
0010200402, 103188, 041035, 2283.6,  1.8440, 34.6394,    -9.0, -9.000,    -9,
0010200401, 103188, 035732, 2498.3,  1.7263, 34.6500,    -9.0, -9.000,    -9,
0010200512, 103188, 092645, 2488.7,  1.7439, 34.6477,    -9.0, -9.000,    -9,
0010200511, 103188, 090459, 2680.5,  1.6422, 34.6583,    -9.0, -9.000,    -9,
0010200510, 103188, 090008, 2880.0,  1.5675, 34.6648,    -9.0, -9.000,    -9,
0010200509, 103188, 085203, 3067.6,  1.5285, 34.6698,    -9.0, -9.000,    -9,
0010200508, 103188, 084719, 3259.0,  1.4972, 34.6742,    -9.0, -9.000,    -9,
0010200507, 103188, 083848, 3451.5,  1.4763, 34.6779,    -9.0, -9.000,    -9,
0010200506, 103188, 083324, 3675.3,  1.4646, 34.6808,    -9.0, -9.000,    -9,
0010200505, 103188, 082849, 3877.7,  1.4616, 34.6829,    -9.0, -9.000,    -9,
0010200504, 103188, 082356, 4087.4,  1.4633, 34.6848,    -9.0, -9.000,    -9,
0010200503, 103188, 081901, 4267.2,  1.4717, 34.6859,    -9.0, -9.000,    -9,
0010200502, 103188, 081328, 4483.3,  1.4859, 34.6870,    -9.0, -9.000,    -9,
0010200501, 103188, 080157, 4705.8,  1.5061, 34.6875,    -9.0, -9.000,    -9,
0010200604, 103188, 125746,  516.8,  6.2735, 34.0322,    -9.0, -9.000,    -9,
0010200601, 103188, 124357, 1011.5,  3.9063, 34.4823,    -9.0, -9.000,    -9,
0010200705, 103188, 150832,   10.7, 26.2640, 35.1900,    -9.0, -9.000,    -9,
0010200704, 103188, 150658,   25.5, 26.2683, 35.1894,    -9.0, -9.000,    -9,
0010200703, 103188, 150517,   42.9, 26.2624, 35.1900,    -9.0, -9.000,    -9,
