botid, date, time, press, dic, ph, alk, 
#, mmddyy, hhmmss, dbar, umol/kg,  , ueq/kg, 
0020200510, 120288, 142015,    1.5,  1958.1, -9.000,    -9,
0020200509, 120288, 141852,   21.2,  1961.1, -9.000,    -9,
0020200508, 120288, 141745,   46.2,  1955.2, -9.000,    -9,
0020200507, 120288, 141647,   71.1,  1960.0, -9.000,    -9,
0020200505, 120288, 141354,  122.9,  2007.2, -9.000,    -9,
0020200504, 120288, 141204,  148.6,  2028.0, -9.000,    -9,
0020200503, 120288, 140959,  177.6,  2034.9, -9.000,    -9,
0020200711, 120288, 195217,    0.9,  1956.2, -9.000,    -9,
0020200710, 120288, 195030,   26.1,  1958.2, -9.000,    -9,
0020200811, 120288, 225346,    1.6,  1961.1, -9.000,    -9,
0020200801, 120288, 224256,  258.5,  2050.5, -9.000,    -9,
0020200901, 120388, 012606, 1005.9,  2351.8, -9.000,    -9,
0030200112, 010889, 031031, 2396.7,  2364.4, -9.000,  2424,
0030200111, 010889, 030505, 2575.1,  2358.6, -9.000,  2422,
0030200110, 010889, 030034, 2786.4,  2345.8, -9.000,  2421,
0030200109, 010889, 025559, 2987.6,  2350.7, -9.000,  2418,
0030200108, 010889, 025148, 3197.6,  2336.0, -9.000,  2414,
0030200107, 010889, 024738, 3402.8,  2340.9, -9.000,    -9,
0030200106, 010889, 024311, 3590.0,  2335.0, -9.000,  2418,
0030200105, 010889, 023835, 3794.8,  2319.4, -9.000,  2417,
0030200104, 010889, 023408, 4003.6,    -9.0, -9.000,  2419,
0030200102, 010889, 022441, 4403.3,    -9.0, -9.000,  2421,
0030200101, 010889, 022131, 4504.9,    -9.0, -9.000,  2422,
0030200212, 010889, 071857,   35.9,    -9.0, -9.000,  2310,
0030200211, 010889, 071454,  204.9,    -9.0, -9.000,  2308,
0030200210, 010889, 070917,  378.3,    -9.0, -9.000,  2257,
0030200209, 010889, 070342,  598.6,    -9.0, -9.000,  2294,
0030200208, 010889, 064400,  757.5,  2322.0, -9.000,  2328,
0030200207, 010889, 063926,  928.8,  2346.2, -9.000,  2355,
0030200206, 010889, 063348, 1148.5,  2353.9, -9.000,  2365,
0030200205, 010889, 062949, 1351.3,  2361.7, -9.000,  2383,
0030200204, 010889, 062431, 1600.2,  2359.7, -9.000,  2391,
0030200203, 010889, 061933, 1775.8,  2362.6, -9.000,  2403,
0030200202, 010889, 061513, 1926.6,  2357.7, -9.000,  2403,
0030200201, 010889, 060723, 2201.1,  2372.3, -9.000,  2418,
0030200312, 010889, 104034,   19.7,  1968.0, -9.000,  2305,
0030200311, 010889, 103714,  118.8,  1997.2, -9.000,  2311,
0030200310, 010889, 103432,  186.0,  2046.1, -9.000,  2303,
0030200309, 010889, 103200,  252.9,  2056.4, -9.000,  2282,
0030200308, 010889, 102855,  334.2,  2097.2, -9.000,  2265,
0030200307, 010889, 102651,  384.7,  2117.9, -9.000,  2258,
0030200306, 010889, 102432,  436.6,  2142.4, -9.000,  2271,
0030200305, 010889, 102151,  504.2,  2205.0, -9.000,  2275,
0030200304, 010889, 101950,  549.5,  2234.4, -9.000,  2283,
0030200303, 010889, 101741,  596.9,  2267.6, -9.000,  2303,
0030200302, 010889, 101341,  710.8,  2313.3, -9.000,  2335,
0030200301, 010889, 100251, 1016.4,  2348.1, -9.000,  2361,
0030200410, 010889, 143637,    4.9,  1962.1, -9.000,    -9,
0030200409, 010889, 143356,   22.8,  1961.2, -9.000,    -9,
0030200408, 010889, 143232,   43.3,  1965.1, -9.000,    -9,
0030200407, 010889, 143045,   72.7,  1957.2, -9.000,    -9,
0030200406, 010889, 142841,   97.7,  1969.0, -9.000,    -9,
0030200405, 010889, 142715,  122.2,  1976.8, -9.000,    -9,
0030200404, 010889, 142546,  146.8,  2008.9, -9.000,    -9,
0030200403, 010889, 142417,  176.8,  2023.5, -9.000,    -9,
0030200711, 010989, 024614,  251.0,  2057.3, -9.000,    -9,
0030200710, 010989, 024510,  278.0,  2053.7, -9.000,    -9,
0030200709, 010989, 024402,  304.3,  2062.7, -9.000,    -9,
0030200708, 010989, 024237,  353.1,  2101.2, -9.000,    -9,
0030200707, 010989, 024111,  403.8,  2129.7, -9.000,    -9,
0030200706, 010989, 023908,  505.0,  2207.0, -9.000,    -9,
0030200705, 010989, 023659,  605.8,  2271.5, -9.000,    -9,
0030200704, 010989, 023455,  705.5,  2321.2, -9.000,    -9,
0030200702, 010989, 023033,  906.4,  2338.4, -9.000,    -9,
0030200701, 010989, 022810, 1021.7,  2350.1, -9.000,    -9,
0040200312, 022889, 044050,    3.2,  1958.3, -9.000,    -9,
0040200311, 022889, 043739,   21.5,  1957.3, -9.000,    -9,
0040200310, 022889, 043532,   47.5,  1971.8, -9.000,    -9,
0040200309, 022889, 043301,   99.0,  1983.3, -9.000,    -9,
0040200308, 022889, 043045,  151.9,  2038.8, -9.000,    -9,
